personuppgiftsförordningen (1998:1191)
personuppgiftslagen (1998:204)
placeringskvotslagen (1962:257)
polisdatalagen (1998:622)
polisförordningen (1984:730)
polisförordningen (1998:1558)
polislagen (1984:387)
postförordningen (1993:1709)
postlagen (1993:1684)
preskriptionslagen (1981:130)
presstödsförordningen (1990:524)
prisinformationslagen (1991:601)
prisinformationslagen (2004:347)
prisregleringslagen (1956:236)
prisregleringslagen (1989:978)
privatskolförordningen (1967:270)
produktansvarslagen (1992:18)
produktsäkerhetslagen (1988:1604)
produktsäkerhetslagen (2004:451)
prokuralagen (1974:158)
prästanställningsförordningen (1989:84)
prästanställningslagen (1988:184)
prästvalsförordningen (1958:261)
radioansvarighetslagen (1966:756)
radiolagen (1966:755)
ransoneringslagen (1978:268)
ransoneringslagen (1978:269)
registerlagen (1997:934)
rehabiliteringsförordningen (1987:221)
religionsfrihetslagen (1951:680)
renhållningsförordningen (1979:904)
renhållningsförordningen (1990:984)
renhållningsförordningen (1998:902)
renhållningslagen (1979:596)
rennäringsförordningen (1971:438)
rennäringslagen (1971:437)
resegarantilagen (1972:204)
reservbefälsförordningen (1972:464)
reservofficersförordningen (1990:202)
revisionsförordningen (1985:606)
revisionslagen (1999:1079)
revisorslagen (2001:883)
rsredovisningslagen (1995:1554)
rundskoleförordningen (1988:655)
räddningstjänstförordningen (1986:1107)
räddningstjänstlagen (1986:1102)
räntelagen (1975:000)
räntelagen (1975:635)
ränteregleringslagen (1962:258)
rättegångslagen (1948:472)
rätthjälpslagen (1972:429)
rättshjälpsförordningen (1979:938)
rättshjälpsförordningen (1997:404)
rättshjälpslagen (1972:429)
rättshjälpslagen (1996:000)
rättshjälpslagen (1996:1619)
rättsinformationsförordningen (1999:175)
rättslagen (1971:392)
rättslagen (1971:479)
rättslagen (1973:1144)
rörelselagen (1982:713)
rörelselagen (1987:617)
sambolagen (2003:376)
sameskolförordningen (1967:216)
sameskolförordningen (1995:205)
sametingslagen (1992:1433)
sekretessförordningen (1980:657)
sekretesslagen (1980:100)
semesterlagen (1977:480)
sjukvårdslagen (1982:763)
sjöarbetstidslagen (1970:105)
sjölagen (1994:1009)
sjömanslagen (1973:282)
sjömansskattelagen (1958:295)
sjötrafikförordningen (1962:150)
sjötrafikförordningen (1986:300)
skadeståndslagen (1972:207)
skattbetalningslagen (1997:483)
skattebetalningsförordningen (1997:750)
skattebetalningslagen (1997:483)
skattebrottslagen (1971:69)
skattelagen (1928:370)
skattelagen (1970:624)
skatteregisterlagen (1980:343)
skogsförläggningslagen (1963:246)
skogskontolagen (1954:142)
skogsvårdsförordningen (1979:791)
skogsvårdslagen (1948:237)
skogsvårdslagen (1979:429)
skoleförordningen (1988:655)
skolförordningen (1971:235)
skolförordningen (1981:235)
skollagen (1962:319)
skollagen (1985:100)
skollagen (1985:1100)
skuldsaneringslagen (1994:334)
skyddsförordningen (1989:364)
skyddslagen (1996:627)
skyddsrumsförordningen (1979:90)
slagen (1972:719)
smittskyddsförordningen (1989:301)
smittskyddslagen (1968:231)
smittskyddslagen (1988:1472)
smittskyddslagen (2004:168)
socialavgiftslagen (2000:980)
socialförsäkringslagen (1999:799)
socialförsäkringsregisterlagen (1997:934)
socialtjänslagen (1980:620)
socialtjänstförordningen (1981:750)
socialtjänstförordningen (2001:937)
socialtjänstlagen (1980:620)
socialtjänstlagen (2001:453)
sparbankslagen (1987:619)
specialskoleförordningen (1995:401)
specialskolförordningen (1965:478)
stadsplanelagen (1931:142)
statstjänstemannalagen (1965:274)
steriliseringslagen (1975:580)
stiftelselagen (1994:1220)
strafflagen (2000:1086)
strålskyddsförordningen (1988:293)
strålskyddslagen (1958:110)
strålskyddslagen (1988:22)
strålskyddslagen (1988:220)
studiemedelsförordningen (1964:401)
studiestödsförordningen (1973:418)
studiestödsförordningen (2000:655)
studiestödslagen (1973:349)
studiestödslagen (1999:1395)
stämpelförordningen (1964:619)
stämpelskattelagen (1964:308)
stämpelskattelagen (1984:404)
svarslagen (1960:74)
säkerhetsskyddsförordningen (1996:633)
säkerhetsskyddslagen (1996:627)
särskoleförordningen (1986:573)
särskoleförordningen (1995:206)
tandvårdsförordningen (1998:1338)
tandvårdslagen (1985:125)
taxeringsförordningen (1956:623)
taxeringsförordningen (1957:513)
taxeringsförordningen (1990:1236)
taxeringslagen (1956:623)
taxeringslagen (1979:1152)
taxeringslagen (1990:324)
teleförordningen (1985:765)
teleförordningen (1993:598)
teleförordningen (1997:399)
telelagen (1993:597)
terroristlagen (1989:530)
terrängkörningsförordningen (1978:594)
terrängkörningslagen (1975:1313)
tidsbegränsningsförordningen (1991:1750)
tillträdesförordningen (1992:118)
tjänsteexportförordningen (1992:192)
tjänstepliktslagen (1959:83)
tjänstlagen (1980:620)
tjänstledighetsförordningen (1984:111)
tobaksförordningen (2001:312)
tobakslagen (1993:581)
trafikförordningen (1998:1276)
trafikförsäkringsförordningen (1976:359)
trafikskadelagen (1975:1410)
transplantationslagen (1975:190)
trålfiskeförordningen (1979:484)
tullagen (1973:670)
tullagen (1987:065)
tullagen (1987:1065)
tullagen (1994:1550)
tullagen (2000:1281)
tullfrihetsförordningen (1987:1289)
tullförordningen (1973:979)
tullförordningen (1987:1114)
tullförordningen (1994:1558)
tullförordningen (2000:1306)
tullregisterlagen (1990:137)
tullregisterlagen (1999:425)
tulltaxelagen (1987:1068)
universitetsförordningen (1964:461)
uppbördsförordningen (1953:272)
uppbördsförordningen (1967:626)
uppbördslagen (1953:272)
upphandlingsförordningen (1973:600)
upphandlingsförordningen (1986:366)
uranlagen (1960:679)
utlandsreseförordningen (1991:1754)
utlänningsförordningen (1980:377)
utlänningsförordningen (1989:547)
utlänningslagen (1954:193)
utlänningslagen (1980:376)
utlänningslagen (1989:529)
utsädesförordningen (1980:438)
utsädesförordningen (1993:1375)
utsädesförordningen (2000:1330)
utsädeslagen (1976:298)
utsökningsbalken (1981:774)
utsökningsförordningen (1981:981)
utsökningsregisterlagen (1986:617)
vallagen (1972:620)
vallagen (1997:157)
valutaförordningen (1959:264)
valutalagen (1939:350)
vapenförordningen (1949:340)
vapenförordningen (1974:123)
vapenförordningen (1996:70)
vapenlagen (1973:1176)
vapenlagen (1996:67)
varumärkeslagen (1960:644)
vattenlagen (1918:523)
vattenlagen (1983:291)
